Date,Open,High,Low,Close,Volume
05-Oct-09,--,--,--,--,0
06-Oct-09,--,--,--,--,0
07-Oct-09,--,--,--,--,0
08-Oct-09,--,--,--,--,0
09-Oct-09,--,--,--,--,0
12-Oct-09,0.84,0.84,0.79,0.79,3
13-Oct-09,0.87,1.01,0.87,1,9
14-Oct-09,1.1,1.35,1.06,1.35,7
15-Oct-09,1.4,1.68,1.4,1.68,3
16-Oct-09,1.78,1.78,1.78,1.78,1
19-Oct-09,1.74,1.76,1.74,1.76,2
20-Oct-09,1.85,1.85,1.85,1.85,2
21-Oct-09,1.63,1.63,1.63,1.63,1
22-Oct-09,--,--,--,--,0
23-Oct-09,1.73,2.4,1.73,2.4,4
26-Oct-09,2.46,2.87,2.46,2.87,5
27-Oct-09,2.6,2.6,2.6,2.6,1
28-Oct-09,2.81,2.81,2.57,2.57,4
29-Oct-09,--,--,--,--,0
30-Oct-09,--,--,--,--,0
02-Nov-09,1.72,1.72,1.72,1.72,1
03-Nov-09,1.98,2.19,1.98,2.07,4
04-Nov-09,--,--,--,--,0
05-Nov-09,2.16,2.24,2.11,2.13,6
06-Nov-09,2.37,2.37,2.21,2.23,4
09-Nov-09,2.16,2.22,2.16,2.19,3
10-Nov-09,2.27,2.86,2.27,2.86,3
11-Nov-09,2.63,2.72,2.63,2.72,2
12-Nov-09,2.63,2.66,2.63,2.66,4
13-Nov-09,2.8,2.83,2.8,2.83,3
16-Nov-09,3.05,3.05,3.02,3.02,2
17-Nov-09,2.91,2.91,2.74,2.82,7
18-Nov-09,2.77,2.77,2.77,2.77,2
19-Nov-09,--,--,--,--,0
20-Nov-09,--,--,--,--,0
08-Feb-10,0.84,0.84,0.84,0.84,1
09-Feb-10,0.94,0.94,0.94,0.94,1
10-Feb-10,--,--,--,--,0
22-Feb-10,--,--,--,--,0
23-Feb-10,--,--,--,--,0
24-Feb-10,--,--,--,--,0
25-Feb-10,--,--,--,--,0
26-Feb-10,--,--,--,--,0
01-Mar-10,--,--,--,--,0
02-Mar-10,--,--,--,--,0
03-Mar-10,--,--,--,--,0
04-Mar-10,0.85,0.85,0.85,0.85,1
05-Mar-10,0.91,0.91,0.91,0.91,1
08-Mar-10,--,--,--,--,0
09-Mar-10,--,--,--,--,0
10-Mar-10,--,--,--,--,0
11-Mar-10,0.8,0.8,0.8,0.8,1
12-Mar-10,--,--,--,--,0
15-Mar-10,--,--,--,--,0
16-Mar-10,--,--,--,--,0
17-Mar-10,0.7,0.7,0.7,0.7,1
18-Mar-10,0.72,0.72,0.72,0.72,1
19-Mar-10,0.71,0.71,0.71,0.71,1
22-Mar-10,--,--,--,--,0
23-Mar-10,--,--,--,--,0
24-Mar-10,0.63,0.63,0.63,0.63,1
25-Mar-10,0.53,0.53,0.53,0.53,2
26-Mar-10,0.53,0.53,0.49,0.53,3
29-Mar-10,0.53,0.53,0.53,0.53,1
30-Mar-10,0.56,0.56,0.53,0.56,4
31-Mar-10,0.55,0.55,0.53,0.53,2
01-Apr-10,--,--,--,--,0
02-Apr-10,--,--,--,--,0
06-Apr-10,--,--,--,--,0
07-Apr-10,0.5,0.51,0.5,0.51,3
08-Apr-10,--,--,--,--,0
09-Apr-10,--,--,--,--,0
12-Apr-10,0.45,0.45,0.45,0.45,1
13-Apr-10,0.38,0.38,0.35,0.37,3
14-Apr-10,--,--,--,--,0
15-Apr-10,0.37,0.37,0.37,0.37,6
16-Apr-10,0.36,0.36,0.36,0.36,3
19-Apr-10,0.31,0.31,0.31,0.31,1
20-Apr-10,0.3,0.3,0.3,0.3,2
21-Apr-10,0.35,0.36,0.34,0.34,3
22-Apr-10,0.38,0.38,0.38,0.38,1
23-Apr-10,0.35,0.35,0.33,0.34,5
26-Apr-10,0.37,0.38,0.37,0.38,5
27-Apr-10,0.44,0.44,0.41,0.42,5
28-Apr-10,0.34,0.37,0.34,0.37,5
29-Apr-10,0.37,0.37,0.3,0.3,5
30-Apr-10,0.29,0.29,0.27,0.27,2
03-May-10,0.23,0.23,0.23,0.23,2
04-May-10,0.23,0.23,0.21,0.21,2
05-May-10,0.16,0.16,0.11,0.11,11
06-May-10,0.12,0.12,0.11,0.11,2
07-May-10,0.09,0.17,0.09,0.17,8
10-May-10,0.13,0.16,0.13,0.16,7
11-May-10,0.16,0.16,0.16,0.16,7
12-May-10,0.14,0.15,0.14,0.15,3
13-May-10,0.16,0.17,0.16,0.17,3
14-May-10,--,--,--,--,0
17-May-10,--,--,--,--,0
18-May-10,0.1,0.1,0.07,0.07,4
19-May-10,0.08,0.08,0.06,0.08,5
20-May-10,0.07,0.07,0.07,0.07,3
21-May-10,0.05,0.05,0.05,0.05,3
24-May-10,0.06,0.06,0.06,0.06,1
25-May-10,--,--,--,--,0
26-May-10,0.06,0.09,0.06,0.09,6
27-May-10,0.09,0.09,0.09,0.09,1
28-May-10,0.12,0.12,0.11,0.11,3
31-May-10,0.11,0.11,0.11,0.11,2
01-Jun-10,0.09,0.12,0.09,0.12,6
02-Jun-10,0.11,0.11,0.1,0.1,3
03-Jun-10,0.12,0.12,0.12,0.12,1
04-Jun-10,0.11,0.11,0.11,0.11,1
07-Jun-10,0.04,0.04,0.04,0.04,2
08-Jun-10,--,--,--,--,0
09-Jun-10,0.04,0.04,0.04,0.04,2
10-Jun-10,0.04,0.04,0.04,0.04,1
11-Jun-10,0.07,0.07,0.07,0.07,1
14-Jun-10,0.08,0.08,0.08,0.08,1
15-Jun-10,0.08,0.08,0.08,0.08,4
17-Jun-10,0.08,0.08,0.08,0.08,1
18-Jun-10,--,--,--,--,0
21-Jun-10,0.09,0.12,0.09,0.12,2
22-Jun-10,--,--,--,--,0
23-Jun-10,--,--,--,--,0
24-Jun-10,--,--,--,--,0
25-Jun-10,--,--,--,--,0
28-Jun-10,--,--,--,--,0
29-Jun-10,--,--,--,--,0
30-Jun-10,--,--,--,--,0
01-Jul-10,--,--,--,--,0
02-Jul-10,--,--,--,--,0
05-Jul-10,--,--,--,--,0
06-Jul-10,--,--,--,--,0
