Name,StockNum,Date,Open,High,Low,Close,Volume,L_score,S_score
玉晶光,3406,2017/1/13,108.5,118,107.5,118,26205000,0,0
玉晶光,3406,2017/1/14,0,0,0,0,0,0,0
玉晶光,3406,2017/1/15,0,0,0,0,0,0,0
玉晶光,3406,2017/1/16,121,122.5,118.5,118.5,18586000,0,0
玉晶光,3406,2017/1/17,119.5,130,118,130,16255000,0,0
玉晶光,3406,2017/1/18,133.5,143,133,143,27372000,0,0
玉晶光,3406,2017/1/19,148.5,157,142,145.5,40668000,0,0
玉晶光,3406,2017/1/20,145,153.5,140.5,148.5,9324000,0,0
玉晶光,3406,2017/1/21,0,0,0,0,0,74,0
玉晶光,3406,2017/1/22,0,0,0,0,0,41,0
玉晶光,3406,2017/1/23,163,163,160.5,163,5098000,0,0
玉晶光,3406,2017/1/24,168,179,168,179,8100000,0,0
玉晶光,3406,2017/1/25,0,0,0,0,0,0,0
玉晶光,3406,2017/1/26,0,0,0,0,0,0,0
玉晶光,3406,2017/1/27,0,0,0,0,0,0,0
玉晶光,3406,2017/1/28,0,0,0,0,0,0,0
玉晶光,3406,2017/1/29,0,0,0,0,0,0,0
玉晶光,3406,2017/1/30,0,0,0,0,0,0,-137
玉晶光,3406,2017/1/31,0,0,0,0,0,86,0
玉晶光,3406,2017/2/1,0,0,0,0,0,0,0
玉晶光,3406,2017/2/2,172.5,196.5,172.5,196.5,2122000,0,0
玉晶光,3406,2017/2/3,216,216,184,208,3508000,0,0
玉晶光,3406,2017/2/4,0,0,0,0,0,0,0
玉晶光,3406,2017/2/5,0,0,0,0,0,0,0
玉晶光,3406,2017/2/6,208,208,187.5,187.5,2346000,0,0
玉晶光,3406,2017/2/7,182.5,182.5,170,179.5,4122000,0,0
玉晶光,3406,2017/2/8,175.5,178.5,170,170.5,1981000,0,0
玉晶光,3406,2017/2/9,187.5,187.5,179.5,187.5,2316000,0,0
玉晶光,3406,2017/2/10,188,197.5,187,187,1576000,0,0
玉晶光,3406,2017/2/11,0,0,0,0,0,0,0
玉晶光,3406,2017/2/12,0,0,0,0,0,0,0
玉晶光,3406,2017/2/13,185,192,185,191,845000,0,0
玉晶光,3406,2017/2/14,198,204,195.5,197.5,1227000,0,0
玉晶光,3406,2017/2/15,204,204,187.5,195,1240000,0,0
玉晶光,3406,2017/2/16,205,214.5,196,214.5,18760000,0,0
玉晶光,3406,2017/2/17,217.5,235.5,216,235.5,18938000,0,0
玉晶光,3406,2017/2/18,0,0,0,0,0,0,0
玉晶光,3406,2017/2/19,0,0,0,0,0,0,0
玉晶光,3406,2017/2/20,0,0,0,0,0,0,0
大同,2371,2016/10/5,7.72,7.76,7.38,7.4,26903000,0,0
大同,2371,2016/10/6,7.33,7.54,7.24,7.54,28474000,0,0
大同,2371,2016/10/7,7.6,7.67,7.29,7.31,51282000,0,0
大同,2371,2016/10/8,0,0,0,0,0,0,0
大同,2371,2016/10/9,0,0,0,0,0,0,0
大同,2371,2016/10/10,0,0,0,0,0,0,0
大同,2371,2016/10/11,7.33,7.54,7.23,7.54,38177000,0,0
大同,2371,2016/10/12,7.47,7.56,7.35,7.56,22763000,0,0
大同,2371,2016/10/13,7.5,7.51,7.34,7.34,14174000,0,0
大同,2371,2016/10/14,7.31,7.41,7.22,7.32,91632000,0,0
大同,2371,2016/10/15,0,0,0,0,0,0,0
大同,2371,2016/10/16,0,0,0,0,0,0,0
大同,2371,2016/10/17,7.45,7.64,7.42,7.54,27239000,0,0
大同,2371,2016/10/18,7.48,8.14,7.35,8.03,69268000,0,0
大同,2371,2016/10/19,8.08,8.22,7.96,8.05,38123000,0,0
大同,2371,2016/10/20,8.08,8.27,7.98,8.11,30684000,0,0
大同,2371,2016/10/21,8.05,8.2,8.03,8.05,20711000,0,0
大同,2371,2016/10/22,0,0,0,0,0,0,0
大同,2371,2016/10/23,0,0,0,0,0,0,0
大同,2371,2016/10/24,8.05,8.18,8.02,8.02,11233000,0,0
大同,2371,2016/10/25,7.97,8.09,7.85,7.87,13988000,0,0
大同,2371,2016/10/26,7.93,8.21,7.79,8.19,33550000,0,0
大同,2371,2016/10/27,8.14,8.27,8.1,8.22,20191000,0,0
大同,2371,2016/10/28,8.23,8.38,8.12,8.34,25328000,0,0
大同,2371,2016/10/29,0,0,0,0,0,0,0
大同,2371,2016/10/30,0,0,0,0,0,0,0
大同,2371,2016/10/31,8.3,8.42,8.16,8.31,16038000,0,0
大同,2371,2016/11/1,8.28,8.42,8.23,8.23,16443000,0,0
大同,2371,2016/11/2,8.18,8.34,7.92,8.05,42249000,0,0
大同,2371,2016/11/3,8.07,8.15,7.98,8.15,38927000,0,0
大同,2371,2016/11/4,8.17,8.4,8.17,8.32,31706000,0,0
大同,2371,2016/11/5,0,0,0,0,0,0,0
大同,2371,2016/11/6,0,0,0,0,0,0,0
大同,2371,2016/11/7,8.4,8.72,8.4,8.6,40096000,0,0
大同,2371,2016/11/8,8.67,8.71,8.46,8.7,39745000,0,0
大同,2371,2016/11/9,8.7,8.75,8.24,8.46,43673000,0,0
大同,2371,2016/11/10,8.76,9.24,8.71,9.07,57860000,0,0
大同,2371,2016/11/11,9.05,9.05,8.75,8.82,31133000,0,0
大同,2371,2016/11/12,0,0,0,0,0,0,0
大同,2371,2016/11/13,0,0,0,0,0,0,0
大同,2371,2016/11/14,8.84,8.87,8.6,8.62,15861000,0,0
大同,2371,2016/11/15,8.68,9.07,8.59,9.07,30311000,0,0
大同,2371,2016/11/16,9.2,9.42,9,9.4,52102000,0,0
大同,2371,2016/11/17,9.41,9.58,9.32,9.58,40996000,0,0
大同,2371,2016/11/18,9.57,9.76,9.49,9.56,27527000,0,0
大同,2371,2016/11/19,0,0,0,0,0,0,0
大同,2371,2016/11/20,0,0,0,0,0,0,0
大同,2371,2016/11/21,9.46,9.62,9.46,9.53,17473000,0,0
大同,2371,2016/11/22,9.58,9.67,9.47,9.49,18575000,0,0
大同,2371,2016/11/23,9.56,9.56,9.4,9.48,21558000,0,0
大同,2371,2016/11/24,9.56,9.62,9.41,9.41,18718000,0,0
